,playerID,yearID,stint,Glf,Gcf,Grf
6952,schicmo01,1917,1.0,3.0,11.0,1.0
6953,schulfr01,1917,1.0,4.0,1.0,26.0
6954,schulfr01,1917,26.0,21.0,8.0,16.0
6955,seiboso01,1917,1.0,3.0,1.0,1.0
6956,shankho01,1917,1.0,22.0,6.0,1.0
6957,sharmra01,1917,1.0,3.0,4.0,6.0
6958,shortch01,1917,1.0,17.0,21.0,8.0
6959,shottbu01,1917,1.0,107.0,1.0,1.0
6960,sloanto01,1917,1.0,17.0,2.0,61.0
6961,smithea01,1917,1.0,23.0,30.0,1.0
6962,smithel02,1917,1.0,28.0,1.0,3.0
6963,smithel02,1917,26.0,9.0,1.0,33.0
6964,smithja03,1917,1.0,28.0,66.0,38.0
6965,smithsh01,1917,1.0,2.0,3.0,1.0
6966,smythre01,1917,1.0,1.0,3.0,1.0
6967,smythre01,1917,26.0,13.0,5.0,6.0
6968,speaktr01,1917,1.0,1.0,142.0,1.0
6969,stengca01,1917,1.0,1.0,2.0,149.0
6970,stewast01,1917,1.0,3.0,4.0,3.0
6971,strunam01,1917,1.0,1.0,146.0,1.0
6972,thorpji01,1917,1.0,7.0,2.0,14.0
6973,thorpji01,1917,26.0,39.0,1.0,34.0
6974,thrasbu01,1917,1.0,1.0,1.0,23.0
6975,twombge01,1917,1.0,2.0,22.0,8.0
6976,veachbo01,1917,1.0,154.0,1.0,1.0
6977,vicksa01,1917,1.0,1.0,1.0,11.0
6978,walketi01,1917,1.0,1.0,96.0,1.0
6979,walshji02,1917,1.0,3.0,44.0,3.0
6980,wheatma01,1917,1.0,10.0,2.0,1.0
6981,wheatza01,1917,1.0,98.0,1.0,1.0
6982,whittpo01,1917,1.0,141.0,1.0,1.0
6983,wilhojo01,1917,1.0,1.0,1.0,53.0
6984,wilhojo01,1917,26.0,2.0,1.0,3.0
6985,wilhojo01,1917,50.0,1.0,3.0,11.0
6986,willicy01,1917,1.0,1.0,136.0,1.0
6987,wittwh01,1917,1.0,8.0,1.0,1.0
6988,wolfeha01,1917,1.0,2.0,1.0,1.0
6989,wolteha01,1917,1.0,4.0,3.0,94.0
6990,youngro01,1917,1.0,2.0,7.0,1.0
6991,zeidero01,1917,1.0,1.0,2.0,1.0
6992,acostme01,1918,26.0,6.0,21.0,22.0
6993,anderge01,1918,1.0,1.0,1.0,36.0
6994,bairddo01,1918,1.0,1.0,1.0,2.0
6995,barbetu01,1918,1.0,5.0,18.0,16.0
6996,bashaal01,1918,1.0,1.0,1.0,1.0
6997,bealljo01,1918,1.0,1.0,1.0,19.0
6998,beschbo01,1918,1.0,1.0,4.0,15.0
6999,betzebr01,1918,1.0,2.0,8.0,16.0
